Type	Factor	Iter	Obj	Obj.diff	Max.chg
backfit	11	3	182414613.449103	77.8980778753757	0.000559690892672217
backfit	12	3	182414661.517093	48.0679901540279	0.000455891192575136
backfit	13	3	182414955.308665	293.791571706533	-0.000506926231566646
backfit	14	3	182415083.940378	128.631713151932	0.000858184041970661
backfit	15	3	182415173.248802	89.3084236085415	0.000592934130816403
backfit	16	3	182415270.386659	97.1378568410873	-0.0008175061115894
backfit	17	3	182415359.085634	88.6989749372005	-0.000878603121347238
backfit	18	3	182415537.834047	178.748413413763	-0.00183666211880168
backfit	19	3	182415867.932482	330.098434835672	0.00143050280552567
backfit	20	3	182415934.41297	66.4804882705212	0.00112632401999056
backfit	21	3	182416113.641693	179.228722602129	0.00147044600977808
backfit	22	3	182416167.311052	53.6693589091301	-0.000688677919701966
backfit	23	3	182416230.059322	62.7482706606388	0.00115123148740395
backfit	24	3	182416283.20227	53.1429478824139	-0.00109683859484305
backfit	25	3	182416358.262282	75.0600113868713	-0.00189506402540518
backfit	26	3	182416441.177083	82.9148016571999	0.0013176307909184
backfit	27	3	182416547.680655	106.503571420908	-0.00151271184123783
backfit	28	3	182416619.307281	71.6266262233257	0.00150299855706876
backfit	29	3	182416801.704234	182.396952718496	0.00147898348402049
backfit	30	3	182416847.773892	46.0696584284306	-0.00106443121025548
backfit	31	3	182416969.197287	121.423395037651	0.00171165292773728
backfit	32	3	182417012.758296	43.5610092580318	-0.0010336866638081
backfit	33	3	182417068.532928	55.774631947279	-0.00114964167178297
backfit	34	3	182417119.09722	50.5642913281918	-0.00101599850250153
backfit	35	3	182417199.156822	80.0596024096012	-0.00139014911844476
backfit	36	3	182417324.121771	124.964948505163	-0.00129980322899614
backfit	37	3	182417389.571849	65.4500783383846	0.00159106042497498
backfit	38	3	182417455.848063	66.2762143611908	0.00148563893461331
backfit	39	3	182417503.991166	48.1431027650833	-0.00117483671837432
backfit	40	3	182417553.121255	49.1300894320011	-0.00171606499510737
backfit	41	3	182417587.554779	34.4335234761238	0.00130106327656287
backfit	42	3	182417627.924867	40.3700882792473	0.00161557681906973
backfit	43	3	182417680.548494	52.623626768589	-0.0012432472669813
backfit	44	3	182417806.76376	126.215266287327	-0.00196654388369542
backfit	45	3	182417875.675779	68.912018597126	-0.00200027605220157
backfit	46	3	182417931.654449	55.9786703586578	-0.00237709128036334
backfit	47	3	182417980.827506	49.1730563938618	0.00192478221814127
backfit	48	3	182418032.668124	51.840617954731	-0.00111312753487341
backfit	49	3	182418126.144051	93.4759274125099	0.00167507549458945
backfit	50	3	182418171.919314	45.7752633392811	0.00187330073104741
backfit	1	4	182418229.566126	57.6468115746975	1.78129454443121e-05
backfit	2	4	182418283.701525	54.1353994607925	6.78158562168463e-05
backfit	3	4	182418522.767737	239.066212058067	-0.000238786895277503
backfit	4	4	182418604.65411	81.8863728046417	-0.000150070366786722
backfit	5	4	182418733.067655	128.413544654846	-0.00029468708571611
backfit	6	4	182418840.984127	107.916472107172	0.000388302838656405
backfit	7	4	182418919.452578	78.4684506952763	0.000342535840363437
backfit	8	4	182419002.781682	83.329104155302	-0.000354961977761692
backfit	9	4	182419203.094158	200.312475800514	0.000342760563947109
